domain_id,class,fold,superfamily,family,rmsd,mca_score
d1j1va_,a,4,12,2,"(np.float32(1.3188851e-06), 94)",106.25375449329186
d1j3ta1,b,34,2,1,"(np.float32(10.724435), 61)",10.257639324052821
d1vdza2,b,84,5,1,"(np.float32(13.114617), 77)",15.52123043371421
d3t64a_,b,85,4,1,"(np.float32(12.149694), 94)",42.5296903284039
d1gmua1,b,107,1,1,"(np.float32(9.820711), 70)",16.53544901387146
d1r0ma1,c,1,11,2,"(np.float32(11.684185), 94)",70.6309334287641
d1f8fa2,c,2,1,1,"(np.float32(9.94381), 94)",64.70596689338574
d2gv8a1,c,3,1,5,"(np.float32(10.396374), 94)",70.99725968867135
d4w8ga_,c,23,2,0,"(np.float32(10.629783), 94)",53.59878497139453
d3orsa1,c,23,8,0,"(np.float32(11.2991295), 94)",65.57583606228114
d5o5ta1,c,56,5,5,"(np.float32(10.696175), 94)",69.33060178373006
d6lyia_,c,66,1,0,"(np.float32(11.199391), 94)",72.1283553561393
d3jtxa1,c,67,1,0,"(np.float32(11.839487), 94)",70.80655076497844
d1iu4a_,d,3,1,8,"(np.float32(11.481376), 94)",67.25784612826911
d4ckoa3,d,58,7,0,"(np.float32(11.600989), 87)",34.375815114276044
d1iq4a_,d,77,1,1,"(np.float32(11.679263), 94)",62.12678281899213
d1rwza2,d,131,1,2,"(np.float32(13.814285), 94)",44.102577962478016
d3ivza_,d,160,1,2,"(np.float32(11.863913), 94)",60.71278228854417
d7aaca2,d,166,1,0,"(np.float32(11.576477), 94)",58.237311350568135
d1hr6a1,d,185,1,1,"(np.float32(10.557804), 94)",69.15381545832251
d4bt7a_,d,290,1,0,"(np.float32(11.760261), 94)",57.18996399449564
d3ozqa1,e,1,1,0,"(np.float32(10.266549), 94)",69.91391676434846
d1pyya4,e,3,1,1,"(np.float32(9.625167), 94)",68.15935699747511
d5zw7a1,e,6,1,0,"(np.float32(10.027394), 94)",70.47691847702826
d1ikpa3,f,1,5,1,"(np.float32(9.762908), 94)",62.37489969647692
d1udka_,g,3,14,1,"(np.float32(9.022118), 51)",4.206694676469788
d1wvec_,a,3,1,1,"(np.float32(10.099945), 75)",38.640823870051904
d7a8ta3,a,7,1,1,"(np.float32(15.501331), 94)",57.49113040002808
d2o8ra1,a,7,15,1,"(np.float32(14.172416), 94)",54.8018728570373
d1ilea1,a,27,1,1,"(np.float32(8.140023), 94)",70.563341084899
d2ct8a2,a,27,1,0,"(np.float32(12.038963), 94)",71.09227979183586
d4bpfa1,a,28,1,0,"(np.float32(10.689906), 78)",40.12898128121055
d1p94a_,a,43,1,3,"(np.float32(22.578773), 76)",26.524155797478333
d1xrxa1,a,43,1,7,"(np.float32(6.0310693), 35)",13.992948988148873
d4zbda2,a,45,1,0,"(np.float32(11.253562), 94)",69.68257962089086
d2x64a2,a,45,1,0,"(np.float32(12.320326), 94)",63.839016590979476
d1z1va_,a,60,1,2,"(np.float32(7.524608), 70)",34.70502604413262
d2bcqa2,a,60,12,1,"(np.float32(8.219631), 57)",29.100591234959147
d2o6ka1,a,60,15,1,"(np.float32(7.3248835), 70)",35.80516166008016
d1aepa_,a,63,1,1,"(np.float32(9.501472), 94)",64.22091794443084
d2wq7a2,a,99,1,0,"(np.float32(7.1946497), 94)",69.98250522394515
d2cvza1,a,100,1,1,"(np.float32(10.859025), 94)",70.24704724291004
d1z82a2,a,100,1,0,"(np.float32(10.36744), 94)",68.67286672793112
d1f7ca_,a,116,1,1,"(np.float32(11.672713), 94)",70.02424949434186
d5mjza_,a,118,8,0,"(np.float32(8.770637), 94)",72.50401834722064
d1sz9a1,a,118,9,4,"(np.float32(9.497808), 94)",71.85469648823916
d6t0bf_,a,118,11,0,"(np.float32(11.221773), 94)",64.78632967150523
d6s7ja_,a,127,1,0,"(np.float32(9.43859), 94)",73.23439869968495
d2outa1,a,140,3,2,"(np.float32(6.107324), 38)",7.353415448637474
d2pq7a1,a,211,1,1,"(np.float32(9.395082), 94)",69.09918619131844
d3bzca3,a,294,1,1,"(np.float32(11.591942), 94)",71.26188680417225
d1x58a1,a,4,1,1,"(np.float32(4.1141295), 49)",18.675888234016064
d1tc3c_,a,4,1,2,"(np.float32(4.4176683), 51)",24.613767092771884
d2crga1,a,4,1,3,"(np.float32(5.2595396), 57)",30.056079111095887
d1iufa1,a,4,1,7,"(np.float32(8.580957), 75)",34.851363167717665
d1vi0a1,a,4,1,9,"(np.float32(10.75534), 72)",33.4257956781368
d2gena1,a,4,1,9,"(np.float32(10.419081), 70)",38.28112760150864
d1zk8a1,a,4,1,9,"(np.float32(8.499755), 72)",40.80156340197775
d1z0xa1,a,4,1,9,"(np.float32(7.922151), 68)",38.94763540843521
d2bgca1,a,4,5,4,"(np.float32(11.30566), 94)",61.20071953431045
d5dd8a_,a,4,5,28,"(np.float32(9.6548195), 94)",65.26571194040113
d5eeha1,a,4,5,29,"(np.float32(12.158778), 89)",57.614857700854614
d2dt5a1,a,4,5,38,"(np.float32(9.703609), 76)",44.58245242126336
d4cr2r2,a,4,5,47,"(np.float32(15.312997), 94)",52.386452947476315
d1u5tb2,a,4,5,54,"(np.float32(9.73779), 75)",42.762639243554226
