domain_id,class,fold,superfamily,family,rmsd,mca_score
d3brma_,e,3,1,2,"(np.float32(1.0294336e-07), 291)",299.64726868068465
d1iq0a1,a,27,1,1,"(np.float32(12.34271), 126)",113.80256089987412
d3cuma4,a,100,1,1,"(np.float32(12.237309), 134)",119.40940346330977
d2kx4a_,b,106,1,2,"(np.float32(17.6465), 117)",61.42943270550544
d5ym6a_,b,140,1,0,"(np.float32(14.322378), 97)",55.190360110305804
d1y29a_,g,3,6,2,"(np.float32(5.335775), 28)",1.6940334725786053
d2xq1a_,e,5,1,1,"(np.float32(17.142717), 291)",155.51941574932297
d3zeda_,e,8,1,0,"(np.float32(19.614052), 291)",139.5726453548448
d3vdpa_,e,49,1,1,"(np.float32(18.27051), 197)",135.6454161250266
d2qv7a1,e,52,1,2,"(np.float32(22.997284), 291)",132.75864931601328
d4wera1,e,52,1,0,"(np.float32(21.985615), 284)",143.0661793980694
d2ffya_,e,3,1,1,"(np.float32(18.003428), 291)",166.75308278768537
d2d83a_,e,3,1,1,"(np.float32(19.35249), 291)",161.6477913931007
d1ei5a3,e,3,1,1,"(np.float32(18.39725), 291)",168.3702951660525
d5ctma_,e,3,1,0,"(np.float32(15.971636), 235)",162.1359501077155
d2qpna_,e,3,1,0,"(np.float32(15.783896), 265)",160.15575215551402
d1u60a_,e,3,1,2,"(np.float32(13.138855), 291)",180.08115316046482
