domain_id,class,fold,superfamily,family,rmsd,mca_score
d1ijqa2,g,3,11,1,"(np.float32(1.6161545e-06), 50)",22.90194968571798
d6wk3a_,a,1,1,0,"(np.float32(9.739548), 50)",8.891622628459814
d6xp1a2,a,100,1,0,"(np.float32(8.562886), 50)",8.186937556717112
d1ojha_,a,214,1,1,"(np.float32(10.282931), 50)",7.089251718442405
d3kdse2,a,269,1,1,"(np.float32(6.974322), 50)",14.737824108012742
d1ccza1,b,1,1,1,"(np.float32(9.514714), 50)",11.775811395371573
d1y6kr1,b,1,2,1,"(np.float32(8.803731), 50)",13.137703524316422
d5gxxa2,b,2,2,0,"(np.float32(6.8457127), 50)",14.702729609344123
d5l37a_,b,40,15,0,"(np.float32(8.419212), 50)",15.18306804468342
d1ei5a2,b,61,3,1,"(np.float32(8.738112), 50)",12.255094962003623
d4csda_,b,68,8,0,"(np.float32(7.184844), 50)",13.432257751188434
d4mf4a_,c,1,12,0,"(np.float32(8.232225), 50)",16.106329713735704
d1wl8a1,c,23,16,1,"(np.float32(7.9451275), 50)",16.03677922828416
d1zd9a1,c,37,1,8,"(np.float32(8.10271), 50)",16.570864429530495
d2czra1,c,52,4,1,"(np.float32(8.746706), 50)",16.550289808685495
d6r2na2,c,55,1,0,"(np.float32(8.468842), 50)",15.783033213817806
d1ngva_,c,111,1,2,"(np.float32(7.7081404), 50)",15.474743718887431
d4dhib_,d,3,1,0,"(np.float32(8.5072975), 50)",16.157560678541415
d1oeyj_,d,15,2,2,"(np.float32(7.1476245), 50)",15.59726328686779
d3k12a1,d,79,1,0,"(np.float32(8.895872), 50)",15.357682626585081
d3td3a1,d,79,7,0,"(np.float32(10.645645), 50)",14.618792941726744
d1x3xa_,d,120,1,0,"(np.float32(8.733989), 50)",9.50399938041045
d1th8a1,d,122,1,3,"(np.float32(8.949217), 50)",15.057870953029381
d2vz8a5,d,390,1,1,"(np.float32(10.200542), 50)",13.619079886575713
d3d9sa1,f,19,1,0,"(np.float32(8.760922), 50)",11.660441051508114
d7lx0l_,f,31,1,0,"(np.float32(9.940827), 50)",8.634134819017813
g1bom.1,g,1,1,1,"(np.float32(7.131771), 28)",
d2h7za1,g,7,1,1,"(np.float32(8.376897), 50)",11.468883682288748
d4gv5a_,g,9,1,2,"(np.float32(8.470324), 42)",2.1151666994653406
d1v9u5_,g,12,1,1,"(np.float32(7.950394), 40)",0.5533737447285235
d2pspa2,g,16,1,1,"(np.float32(10.317807), 50)",7.0713044651361585
d3mjga_,g,17,1,1,"(np.float32(13.826136), 50)",10.771079995312991
d2ok5a4,g,18,1,1,"(np.float32(7.6393332), 50)",11.678361113155546
d3erba3,g,18,1,0,"(np.float32(9.8481865), 50)",13.200706132938024
d6v06a4,g,18,1,0,"(np.float32(10.006467), 50)",7.243838468980611
d1afpa_,g,26,1,1,"(np.float32(11.552722), 50)",4.702431598435354
d2en2a1,g,37,1,1,"(np.float32(7.296973), 27)",1.9938080920259584
d1wjva1,g,37,1,2,"(np.float32(7.3502197), 28)",2.527406744103054
d1zmec1,g,38,1,1,"(np.float32(8.465122), 36)",1.9637097609762277
d1xpaa2,g,39,1,5,"(np.float32(7.0510764), 36)",0.4794950293381577
d1w4ra2,g,39,1,0,"(np.float32(8.924315), 41)",5.332755393157546
d2ywwa2,g,41,7,0,"(np.float32(11.080164), 49)",9.03647000547436
d2l7pa1,g,50,2,1,"(np.float32(7.763386), 50)",11.121571579493812
d1exka_,g,54,1,1,"(np.float32(11.900209), 50)",11.69132084762845
d1ha8a_,g,58,1,1,"(np.float32(9.250996), 50)",3.979570018099574
d1u34a1,g,76,1,1,"(np.float32(10.254668), 50)",12.433576855852024
d6u26b2,g,77,1,2,"(np.float32(9.437928), 50)",12.637523375770993
d2ayda_,g,79,1,0,"(np.float32(8.987267), 50)",11.73101286711435
d1wvka1,g,82,1,1,"(np.float32(8.577569), 50)",8.180392589419217
