domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d1j1va_,a,4,12,2,a.4.12.2,1j1v,A,,Chromosomal replication initiation factor DnaA C-terminal domain IV,Escherichia coli [TaxId: 562]
d1j3ta1,b,34,2,1,b.34.2.1,1j3t,A,8-68,Intersectin 2 (KIAA1256),Human (Homo sapiens) [TaxId: 9606]
d1vdza2,b,84,5,1,b.84.5.1,1vdz,A,114-190,"A1 ATP synthase A subunit, bulge domain",Pyrococcus horikoshii [TaxId: 53953]
d3t64a_,b,85,4,1,b.85.4.1,3t64,A,,automated matches,Plasmodium falciparum [TaxId: 36329]
d1gmua1,b,107,1,1,b.107.1.1,1gmu,A,1-70,"Urease metallochaperone UreE, N-terminal domain",Klebsiella aerogenes [TaxId: 28451]
d1r0ma1,c,1,11,2,c.1.11.2,1r0m,A,133-375,N-acylamino acid racemase,Deinococcus radiodurans [TaxId: 1299]
d1f8fa2,c,2,1,1,c.2.1.1,1f8f,A,163-336,Benzyl alcohol dehydrogenase,Acinetobacter calcoaceticus [TaxId: 471]
d2gv8a1,c,3,1,5,c.3.1.5,2gv8,A,,"Flavin-dependent monoxygenase SPBP16F5.08c, N- and C-terminal domain",Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]
d4w8ga_,c,23,2,0,c.23.2.0,4w8g,A,,automated matches,Hydra vulgaris [TaxId: 6087]
d3orsa1,c,23,8,0,c.23.8.0,3ors,A,1-160,automated matches,Staphylococcus aureus [TaxId: 426430]
d5o5ta1,c,56,5,5,c.56.5.5,5o5t,A,,Glutamate carboxypeptidase II FOLH1,Human (Homo sapiens) [TaxId: 9606]
d6lyia_,c,66,1,0,c.66.1.0,6lyi,A,,automated matches,Camellia sinensis [TaxId: 261999]
d3jtxa1,c,67,1,0,c.67.1.0,3jtx,A,1-395,automated matches,Neisseria meningitidis [TaxId: 122587]
d1iu4a_,d,3,1,8,d.3.1.8,1iu4,A,,Microbial transglutaminase,Streptoverticillium mobaraense [TaxId: 35621]
d4ckoa3,d,58,7,0,d.58.7.0,4cko,A,445-531,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1iq4a_,d,77,1,1,d.77.1.1,1iq4,A,,Ribosomal protein L5,Bacillus stearothermophilus [TaxId: 1422]
d1rwza2,d,131,1,2,d.131.1.2,1rwz,A,123-244,Proliferating cell nuclear antigen (PCNA),Archaeoglobus fulgidus [TaxId: 2234]
d3ivza_,d,160,1,2,d.160.1.2,3ivz,A,,automated matches,Pyrococcus abyssi [TaxId: 272844]
d7aaca2,d,166,1,0,d.166.1.0,7aac,A,797-1011,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1hr6a1,d,185,1,1,d.185.1.1,1hr6,A,14-233,Mitochondrial processing peptidase (MPP) alpha chain,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d4bt7a_,d,290,1,0,d.290.1.0,4bt7,A,,automated matches,Brevibacillus brevis [TaxId: 1393]
d3ozqa1,e,1,1,0,e.1.1.0,3ozq,A,17-389,automated matches,Yellow mealworm (Tenebrio molitor) [TaxId: 7067]
d1pyya4,e,3,1,1,e.3.1.1,1pyy,A,264-631,"Penicillin-binding protein 2x (pbp-2x), transpeptidase domain",Pneumococcus (Streptococcus pneumoniae) [TaxId: 1313]
d5zw7a1,e,6,1,0,e.6.1.0,5zw7,A,1-230,automated matches,Serratia sp. [TaxId: 104623]
d1ikpa3,f,1,5,1,f.1.5.1,1ikp,A,252-394,"Exotoxin A, middle domain",Pseudomonas aeruginosa [TaxId: 287]
d1udka_,g,3,14,1,g.3.14.1,1udk,A,,Nawaprin,Spitting cobra (Naja nigricollis) [TaxId: 8654]
d1wvec_,a,3,1,1,a.3.1.1,1wve,C,,automated matches,Pseudomonas putida [TaxId: 303]
d7a8ta3,a,7,1,1,a.7.1.1,7a8t,A,512-632,alpha-actinin,Human (Homo sapiens) [TaxId: 9606]
