domain_id,scop_code,class,fold,superfamily,family,pdb_id,chain,residues,protein_name,organism
d1dlwa_,a.1.1.1,a,1,1,1,1dlw,A,,Protozoan/bacterial hemoglobin,Ciliate (Paramecium caudatum) [TaxId: 5885]
d2gkma_,a.1.1.1,a,1,1,1,2gkm,A,,Protozoan/bacterial hemoglobin,"Mycobacterium tuberculosis, HbN [TaxId: 1773]"
d1ngka_,a.1.1.1,a,1,1,1,1ngk,A,,Protozoan/bacterial hemoglobin,"Mycobacterium tuberculosis, HbO [TaxId: 1773]"
d2bkma_,a.1.1.1,a,1,1,1,2bkm,A,,automated matches,Geobacillus stearothermophilus [TaxId: 1422]
d4i0va_,a.1.1.1,a,1,1,1,4i0v,A,,automated matches,Synechococcus sp. [TaxId: 32049]
d1asha_,a.1.1.2,a,1,1,2,1ash,A,,"Ascaris hemoglobin, domain 1",Pig roundworm (Ascaris suum) [TaxId: 6253]
d2dc3a_,a.1.1.2,a,1,1,2,2dc3,A,,Cytoglobin,Human (Homo sapiens) [TaxId: 9606]
d4hswa_,a.1.1.2,a,1,1,2,4hsw,A,,Dehaloperoxidase,Amphitrite ornata [TaxId: 129555]
d1ecaa_,a.1.1.2,a,1,1,2,1eca,A,,Erythrocruorin,"Midge (Chironomus thummi thummi), fraction III [TaxId: 7154]"
d1x9fd_,a.1.1.2,a,1,1,2,1x9f,D,,"Extracellular dodecameric hemoglobin (erythrocruorin), subunit D1",Common earthworm (Lumbricus terrestris) [TaxId: 6398]
d1x9fc_,a.1.1.2,a,1,1,2,1x9f,C,,"Extracellular dodecameric hemoglobin (erythrocruorin), subunit III (globin C)",Common earthworm (Lumbricus terrestris) [TaxId: 6398]
d1jl7a_,a.1.1.2,a,1,1,2,1jl7,A,,Glycera globin,Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]
d1it2a_,a.1.1.2,a,1,1,2,1it2,A,,Hagfish hemoglobin,Inshore hagfish (Eptatretus burgeri) [TaxId: 7764]
d1or4a_,a.1.1.2,a,1,1,2,1or4,A,,"Heme-based aerotactic transducer HemAT, sensor domain",Bacillus subtilis [TaxId: 1423]
d1itha_,a.1.1.2,a,1,1,2,1ith,A,,Hemoglobin,Innkeeper worm (Urechis caupo) [TaxId: 6431]
