domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d3jcla3,e,83,1,1,e.83.1.1,3jcl,A,,Coronavirus spike glycoprotein S1,Murine hepatitis virus (strain a59) [TaxID:11142]
d4aana1,a,3,1,0,a.3.1.0,4aan,A,24-188,automated matches,Geobacter sulfurreducens [TaxId: 243231]
d2icta_,a,35,1,3,a.35.1.3,2ict,A,,Antitoxin HigA,Escherichia coli [TaxId: 562]
d1exra_,a,39,1,5,a.39.1.5,1exr,A,,Calmodulin,Ciliate (Paramecium tetraurelia) [TaxId: 5888]
d5xopa1,a,39,1,5,a.39.1.5,5xop,A,1-65,automated matches,Entamoeba histolytica [TaxId: 885319]
d1sxjb1,a,80,1,1,a.80.1.1,1sxj,B,231-322,Replication factor C4,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1jswa_,a,127,1,1,a.127.1.1,1jsw,A,,L-aspartate ammonia lyase,Escherichia coli [TaxId: 562]
d1jz8a3,b,18,1,5,b.18.1.5,1jz8,A,13-219,beta-Galactosidase,Escherichia coli [TaxId: 562]
d1mfga1,b,36,1,1,b.36.1.1,1mfg,A,1280-1371,Erbin,Human (Homo sapiens) [TaxId: 9606]
d2z48a1,b,42,2,1,b.42.2.1,2z48,A,2-150,"Hemolytic lectin CEL-III, domains 1 and 2",Cucumaria echinata [TaxId: 40245]
d1unqa_,b,55,1,1,b.55.1.1,1unq,A,,Rac-alpha serine/threonine kinase,Human (Homo sapiens) [TaxId: 9606]
d2ovrb2,b,69,4,1,b.69.4.1,2ovr,B,2365-2706,"F-box/WD repeat-containing protein 7, FBXW7",Human (Homo sapiens) [TaxId: 9606]
d3loia_,b,82,1,0,b.82.1.0,3loi,A,,automated matches,Branchiostoma belcheri [TaxId: 155462]
d3n3ma1,c,1,2,3,c.1.2.3,3n3m,A,1-321,automated matches,Plasmodium falciparum [TaxId: 36329]
d3n9ra_,c,1,10,0,c.1.10.0,3n9r,A,,automated matches,Helicobacter pylori [TaxId: 290847]
d4ioja_,c,37,1,10,c.37.1.10,4ioj,A,,automated matches,Moorella thermoacetica [TaxId: 264732]
d1u94a1,c,37,1,11,c.37.1.11,1u94,A,6-268,"RecA protein, ATPase-domain",Escherichia coli [TaxId: 562]
d4czga1,c,55,1,0,c.55.1.0,4czg,A,9-149,automated matches,Caulobacter vibrioides [TaxId: 155892]
d3n5ma1,c,67,1,0,c.67.1.0,3n5m,A,1-449,automated matches,Anthrax bacillus (Bacillus anthracis) [TaxId: 1392]
d4e4ra1,c,77,1,5,c.77.1.5,4e4r,A,1-327,automated matches,Staphylococcus aureus [TaxId: 282458]
d1am7a_,d,2,1,4,d.2.1.4,1am7,A,,Lambda lysozyme,Bacteriophage lambda [TaxId: 10710]
d6vlpa_,d,17,1,0,d.17.1.0,6vlp,A,,automated matches,Humulus lupulus [TaxId: 3486]
d2b7na1,d,41,2,0,d.41.2.0,2b7n,A,1-102,automated matches,Helicobacter pylori [TaxId: 210]
d2pbdp_,d,110,1,1,d.110.1.1,2pbd,P,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1ppqa1,g,18,1,1,g.18.1.1,1ppq,A,961-1024,"Complement receptor 1, cr1",Human (Homo sapiens) [TaxId: 9606]
d1eaic_,g,22,1,1,g.22.1.1,1eai,C,,Ascaris elastase inhibitor,Pig roundworm (Ascaris suum) [TaxId: 6253]
