domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d1ijqa2,g,3,11,1,g.3.11.1,1ijq,A,643-692,"Low density lipoprotein (LDL) receptor, different EGF domains",Human (Homo sapiens) [TaxId: 9606]
d6wk3a_,a,1,1,0,a.1.1.0,6wk3,A,,automated matches,Rhodothermus marinus [TaxId: 518766]
d6xp1a2,a,100,1,0,a.100.1.0,6xp1,A,165-273,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1ojha_,a,214,1,1,a.214.1.1,1ojh,A,,Phycobilisome degradation protein NblA,Nostoc sp. PCC 7120 [TaxId: 103690]
d3kdse2,a,269,1,1,a.269.1.1,3kds,E,403-603,automated matches,Thermotoga maritima [TaxId: 2336]
d1ccza1,b,1,1,1,b.1.1.1,1ccz,A,1-93,"CD2-binding domain of CD58, N-terminal domain",Human (Homo sapiens) [TaxId: 9606]
d1y6kr1,b,1,2,1,b.1.2.1,1y6k,R,2-100,"Interleukin-10 receptor 1, IL-10R1",Human (Homo sapiens) [TaxId: 9606]
d5gxxa2,b,2,2,0,b.2.2.0,5gxx,A,472-628,automated matches,Clostridium thermocellum [TaxId: 1515]
d5l37a_,b,40,15,0,b.40.15.0,5l37,A,,automated matches,Mycobacterium smegmatis [TaxId: 246196]
d1ei5a2,b,61,3,1,b.61.3.1,1ei5,A,418-520,"D-aminopeptidase, middle and C-terminal domains",Ochrobactrum anthropi [TaxId: 529]
d4csda_,b,68,8,0,b.68.8.0,4csd,A,,automated matches,Ralstonia solanacearum [TaxId: 305]
d4mf4a_,c,1,12,0,c.1.12.0,4mf4,A,,automated matches,Burkholderia cenocepacia [TaxId: 216591]
d1wl8a1,c,23,16,1,c.23.16.1,1wl8,A,1-188,"GMP synthase subunit A, GuaAA",Pyrococcus horikoshii [TaxId: 53953]
d1zd9a1,c,37,1,8,c.37.1.8,1zd9,A,17-181,ADP-ribosylation factor,"Human (Homo sapiens), ARL8A [TaxId: 9606]"
d2czra1,c,52,4,1,c.52.4.1,2czr,A,1-218,TBP-interacting protein,Thermococcus kodakaraensis [TaxId: 311400]
d6r2na2,c,55,1,0,c.55.1.0,6r2n,A,225-481,automated matches,Milk yeast (Kluyveromyces lactis) [TaxId: 28985]
d1ngva_,c,111,1,2,c.111.1.2,1ngv,A,,"Amyloid beta precursor protein-binding protein 1, APPBP1",Human (Homo sapiens) [TaxId: 9606]
d4dhib_,d,3,1,0,d.3.1.0,4dhi,B,,automated matches,Nematode (Caenorhabditis elegans) [TaxId: 6239]
