domain_id,class,fold,superfamily,family,rmsd,mca_score
d2gjva1,d,323,1,2,"(np.float32(2.4491183e-06), 134)",165.49357236929808
d2c2ua_,a,25,1,0,"(np.float32(16.786585), 134)",78.45962534646766
d4uyba2,c,13,1,0,"(np.float32(13.629672), 134)",100.28723609460879
d4g3ha_,c,42,1,0,"(np.float32(15.194476), 134)",94.08446465901064
d2zosa1,c,108,1,10,"(np.float32(16.422752), 134)",97.08673724096501
d4a82a1,f,37,1,1,"(np.float32(20.828215), 134)",75.43467482008576
d4n6ob1,d,17,1,0,"(np.float32(15.593089), 114)",80.5344803945289
d1w5fa2,d,79,2,1,"(np.float32(16.330074), 121)",83.53054770642805
d2y28a_,d,118,1,1,"(np.float32(15.362328), 134)",95.64622738940183
d3ivza_,d,160,1,2,"(np.float32(16.612139), 134)",100.70292938007123
d2kv3a1,d,169,1,0,"(np.float32(15.567521), 130)",74.95727819314753
d3fz2a1,d,323,1,1,"(np.float32(7.7971325), 128)",93.95205403408649
