domain_id,class,fold,superfamily,family,rmsd,mca_score
d1fi6a_,a,39,1,6,"(np.float32(1.0417039e-06), 93)",100.82063207331714
d4a1ia2,b,160,1,1,"(np.float32(11.313245), 93)",47.8555930278821
d3jb9c_,d,13,1,5,"(np.float32(9.372995), 93)",68.88900962604099
d6l27a_,d,22,1,1,"(np.float32(11.039691), 93)",42.57111682702737
d7m32a5,d,58,1,5,"(np.float32(14.583668), 93)",56.19724308887242
d2el5a1,g,37,1,1,"(np.float32(5.626134), 26)",4.1361454732600675
d1ft9a1,a,4,5,4,"(np.float32(8.752378), 78)",41.57987939327255
d3elka_,a,4,5,0,"(np.float32(14.71014), 93)",63.022848012776095
d1rrza_,a,7,10,1,"(np.float32(9.244317), 66)",31.24733443509939
d2eufa2,a,74,1,1,"(np.float32(12.197372), 93)",63.57260433380159
d1gaia_,a,102,1,1,"(np.float32(11.67098), 93)",66.40820656812556
d1ooha1,a,39,2,1,"(np.float32(12.359183), 93)",64.17002705569898
d6jpma_,a,39,2,0,"(np.float32(12.791671), 93)",63.498349577383955
d3r72a_,a,39,2,0,"(np.float32(12.765414), 93)",63.947134491752834
d2ciwa1,a,39,3,1,"(np.float32(11.071023), 93)",56.01630269629567
d2ciwa2,a,39,3,1,"(np.float32(11.325175), 93)",67.06559053390906
d1a4pa_,a,39,1,2,"(np.float32(10.563638), 92)",53.297174822671
d1s6ia_,a,39,1,5,"(np.float32(7.0107055), 93)",64.23835574961193
d1exra_,a,39,1,5,"(np.float32(11.565698), 93)",59.578769858811555
d2r2ia_,a,39,1,0,"(np.float32(7.161738), 93)",70.01436778957883
d4ocia1,a,39,1,0,"(np.float32(12.406092), 93)",60.72552371049834
d1qjta_,a,39,1,6,"(np.float32(8.520458), 93)",56.23435847850863
