domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d6pzna1,c,2,1,0,c.2.1.0,6pzn,A,1-244,automated matches,Acinetobacter baumannii [TaxId: 470]
d1z0xa1,a,4,1,9,a.4.1.9,1z0x,A,4-71,Transcriptional regulator EF0787,Enterococcus faecalis [TaxId: 1351]
d1st6a6,a,24,9,1,a.24.9.1,1st6,A,647-718,Vinculin,Chicken (Gallus gallus) [TaxId: 9031]
d1pfva1,a,27,1,1,a.27.1.1,1pfv,A,389-550,Methionyl-tRNA synthetase (MetRS),Escherichia coli [TaxId: 562]
d5joja_,a,39,1,0,a.39.1.0,5joj,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1n69a_,a,64,1,3,a.64.1.3,1n69,A,,Saposin B,Human (Homo sapiens) [TaxId: 9606]
d2a9ia_,a,77,1,2,a.77.1.2,2a9i,A,,automated matches,Mouse (Mus musculus) [TaxId: 10090]
d1hn0a1,a,102,3,2,a.102.3.2,1hn0,A,235-618,Chondroitin ABC lyase I,Proteus vulgaris [TaxId: 585]
d1jeqa1,a,140,2,1,a.140.2.1,1jeq,A,559-609,DNA binding C-terminal domain of ku70,Human (Homo sapiens) [TaxId: 9606]
d1jz8a1,b,1,4,1,b.1.4.1,1jz8,A,220-333,"beta-Galactosidase, domains 2 and 4",Escherichia coli [TaxId: 562]
d1llaa3,b,1,18,3,b.1.18.3,1lla,A,380-628,"Arthropod hemocyanin, C-terminal domain",Horseshoe crab (Limulus polyphemus) [TaxId: 6850]
d2nqca_,b,1,18,10,b.1.18.10,2nqc,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d5o99a1,b,34,2,0,b.34.2.0,5o99,A,470-528,automated matches,Norway rat (Rattus norvegicus) [TaxId: 10116]
d4yo1a1,b,36,1,0,b.36.1.0,4yo1,A,240-337,automated matches,Legionella pneumophila [TaxId: 446]
d1d3bb_,b,38,1,1,b.38.1.1,1d3b,B,,B core SNRNP protein,Human (Homo sapiens) [TaxId: 9606]
d4fvda_,b,47,1,0,b.47.1.0,4fvd,A,,automated matches,Human enterovirus 71 [TaxId: 39054]
d1jhda1,b,122,1,3,b.122.1.3,1jhd,A,1-173,ATP sulfurylase N-terminal domain,Sulfur-oxidizing endosymbiont of Riftia pachyptila [TaxId: 35843]
d1ctfa_,d,45,1,1,d.45.1.1,1ctf,A,,"Ribosomal protein L7/12, C-terminal domain",Escherichia coli [TaxId: 562]
d5lsla_,d,58,7,0,d.58.7.0,5lsl,A,,automated matches,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1rq8a_,d,68,4,1,d.68.4.1,1rq8,A,,Hypothetical protein SAV1595,"Staphylococcus aureus, (strain Mu50 / ATCC 700699) [TaxId: 1280]"
d1t3ta4,d,79,4,1,d.79.4.1,1t3t,A,221-429,"FGAM synthase PurL, PurM-like module, N1 and N2 domains",Salmonella typhimurium [TaxId: 90371]
d1lkka_,d,93,1,1,d.93.1.1,1lkk,A,,p56-lck tyrosine kinase,Human (Homo sapiens) [TaxId: 9606]
d1jyoe_,d,184,1,2,d.184.1.2,1jyo,E,,Virulence effector SptP domain,Salmonella typhimurium [TaxId: 90371]
d1fn9a_,d,196,1,1,d.196.1.1,1fn9,A,,Outer capsid protein sigma 3,Reovirus [TaxId: 10891]
d1vlaa1,d,227,1,2,d.227.1.2,1vla,A,1-138,Hypothetical protein TM0919,Thermotoga maritima [TaxId: 2336]
d2bskb1,g,83,1,1,g.83.1.1,2bsk,B,13-77,Mitochondrial import inner membrane translocase subunit Tim10,Human (Homo sapiens) [TaxId: 9606]
d2w79a_,c,1,2,1,c.1.2.1,2w79,A,,automated matches,Thermotoga maritima [TaxId: 2336]
d2nw0a_,c,1,8,0,c.1.8.0,2nw0,A,,automated matches,Unidentified phage [TaxId: 38018]
d3krva_,c,8,8,1,c.8.8.1,3krv,A,,Unnamed protein,Bacillus stearothermophilus [TaxId: 1422]
